startDateTime,endDateTime,staPresMean,staPresMinimum,staPresMaximum,staPresVariance,staPresNumPts,staPresExpUncert,staPresStdErMean,staPresFinalQF,corPres,corPresExpUncert,corPresFinalQF
"2018-12-05T07:00:00Z","2018-12-05T07:30:00Z",,,,,,,,1,,,1
"2018-12-05T07:30:00Z","2018-12-05T08:00:00Z",,,,,,,,1,,,1
"2018-12-05T08:00:00Z","2018-12-05T08:30:00Z",,,,,,,,1,,,1
"2018-12-05T08:30:00Z","2018-12-05T09:00:00Z",,,,,,,,1,,,1
"2018-12-05T09:00:00Z","2018-12-05T09:30:00Z",,,,,,,,1,,,1
"2018-12-05T09:30:00Z","2018-12-05T10:00:00Z",,,,,,,,1,,,1
"2018-12-05T10:00:00Z","2018-12-05T10:30:00Z",,,,,,,,1,,,1
"2018-12-05T10:30:00Z","2018-12-05T11:00:00Z",,,,,,,,1,,,1
"2018-12-05T11:00:00Z","2018-12-05T11:30:00Z",,,,,,,,1,,,1
"2018-12-05T11:30:00Z","2018-12-05T12:00:00Z",,,,,,,,1,,,1
"2018-12-05T12:00:00Z","2018-12-05T12:30:00Z",,,,,,,,1,,,1
"2018-12-05T12:30:00Z","2018-12-05T13:00:00Z",,,,,,,,1,,,1
"2018-12-05T13:00:00Z","2018-12-05T13:30:00Z",,,,,,,,1,,,1
"2018-12-05T13:30:00Z","2018-12-05T14:00:00Z",,,,,,,,1,,,1
"2018-12-05T14:00:00Z","2018-12-05T14:30:00Z",,,,,,,,1,,,1
"2018-12-05T14:30:00Z","2018-12-05T15:00:00Z",,,,,,,,1,,,1
"2018-12-05T15:00:00Z","2018-12-05T15:30:00Z",,,,,,,,1,,,1
"2018-12-05T15:30:00Z","2018-12-05T16:00:00Z",,,,,,,,1,,,1
"2018-12-05T16:00:00Z","2018-12-05T16:30:00Z",,,,,,,,1,,,1
"2018-12-05T16:30:00Z","2018-12-05T17:00:00Z",,,,,,,,1,,,1
"2018-12-05T17:00:00Z","2018-12-05T17:30:00Z",,,,,,,,1,,,1
"2018-12-05T17:30:00Z","2018-12-05T18:00:00Z",,,,,,,,1,,,1
"2018-12-05T18:00:00Z","2018-12-05T18:30:00Z",,,,,,,,1,,,1
"2018-12-05T18:30:00Z","2018-12-05T19:00:00Z",,,,,,,,1,,,1
"2018-12-05T19:00:00Z","2018-12-05T19:30:00Z",,,,,,,,1,,,1
"2018-12-05T19:30:00Z","2018-12-05T20:00:00Z",,,,,,,,1,,,1
"2018-12-05T20:00:00Z","2018-12-05T20:30:00Z",,,,,,,,1,,,1
"2018-12-05T20:30:00Z","2018-12-05T21:00:00Z",,,,,,,,1,,,1
"2018-12-05T21:00:00Z","2018-12-05T21:30:00Z",,,,,,,,1,,,1
"2018-12-05T21:30:00Z","2018-12-05T22:00:00Z",,,,,,,,1,,,1
"2018-12-05T22:00:00Z","2018-12-05T22:30:00Z",,,,,,,,1,,,1
"2018-12-05T22:30:00Z","2018-12-05T23:00:00Z",,,,,,,,1,,,1
"2018-12-05T23:00:00Z","2018-12-05T23:30:00Z",,,,,,,,1,,,1
"2018-12-05T23:30:00Z","2018-12-06T00:00:00Z",,,,,,,,1,,,1
"2018-12-06T00:00:00Z","2018-12-06T00:30:00Z",,,,,,,,1,,,1
"2018-12-06T00:30:00Z","2018-12-06T01:00:00Z",,,,,,,,1,,,1
"2018-12-06T01:00:00Z","2018-12-06T01:30:00Z",,,,,,,,1,,,1
"2018-12-06T01:30:00Z","2018-12-06T02:00:00Z",,,,,,,,1,,,1
"2018-12-06T02:00:00Z","2018-12-06T02:30:00Z",,,,,,,,1,,,1
"2018-12-06T02:30:00Z","2018-12-06T03:00:00Z",,,,,,,,1,,,1
"2018-12-06T03:00:00Z","2018-12-06T03:30:00Z",,,,,,,,1,,,1
"2018-12-06T03:30:00Z","2018-12-06T04:00:00Z",,,,,,,,1,,,1
"2018-12-06T04:00:00Z","2018-12-06T04:30:00Z",,,,,,,,1,,,1
"2018-12-06T04:30:00Z","2018-12-06T05:00:00Z",,,,,,,,1,,,1
"2018-12-06T05:00:00Z","2018-12-06T05:30:00Z",,,,,,,,1,,,1
"2018-12-06T05:30:00Z","2018-12-06T06:00:00Z",,,,,,,,1,,,1
"2018-12-06T06:00:00Z","2018-12-06T06:30:00Z",,,,,,,,1,,,1
"2018-12-06T06:30:00Z","2018-12-06T07:00:00Z",,,,,,,,1,,,1
"2018-12-06T07:00:00Z","2018-12-06T07:30:00Z",,,,,,,,1,,,1
"2018-12-06T07:30:00Z","2018-12-06T08:00:00Z",,,,,,,,1,,,1
"2018-12-06T08:00:00Z","2018-12-06T08:30:00Z",,,,,,,,1,,,1
"2018-12-06T08:30:00Z","2018-12-06T09:00:00Z",,,,,,,,1,,,1
"2018-12-06T09:00:00Z","2018-12-06T09:30:00Z",,,,,,,,1,,,1
"2018-12-06T09:30:00Z","2018-12-06T10:00:00Z",,,,,,,,1,,,1
"2018-12-06T10:00:00Z","2018-12-06T10:30:00Z",,,,,,,,1,,,1
"2018-12-06T10:30:00Z","2018-12-06T11:00:00Z",,,,,,,,1,,,1
"2018-12-06T11:00:00Z","2018-12-06T11:30:00Z",,,,,,,,1,,,1
"2018-12-06T11:30:00Z","2018-12-06T12:00:00Z",,,,,,,,1,,,1
"2018-12-06T12:00:00Z","2018-12-06T12:30:00Z",,,,,,,,1,,,1
"2018-12-06T12:30:00Z","2018-12-06T13:00:00Z",,,,,,,,1,,,1
"2018-12-06T13:00:00Z","2018-12-06T13:30:00Z",,,,,,,,1,,,1
"2018-12-06T13:30:00Z","2018-12-06T14:00:00Z",,,,,,,,1,,,1
"2018-12-06T14:00:00Z","2018-12-06T14:30:00Z",,,,,,,,1,,,1
"2018-12-06T14:30:00Z","2018-12-06T15:00:00Z",,,,,,,,1,,,1
"2018-12-06T15:00:00Z","2018-12-06T15:30:00Z",,,,,,,,1,,,1
"2018-12-06T15:30:00Z","2018-12-06T16:00:00Z",,,,,,,,1,,,1
"2018-12-06T16:00:00Z","2018-12-06T16:30:00Z",,,,,,,,1,,,1
"2018-12-06T16:30:00Z","2018-12-06T17:00:00Z",,,,,,,,1,,,1
"2018-12-06T17:00:00Z","2018-12-06T17:30:00Z",,,,,,,,1,,,1
"2018-12-06T17:30:00Z","2018-12-06T18:00:00Z",,,,,,,,1,,,1
"2018-12-06T18:00:00Z","2018-12-06T18:30:00Z",,,,,,,,1,,,1
"2018-12-06T18:30:00Z","2018-12-06T19:00:00Z",,,,,,,,1,,,1
"2018-12-06T19:00:00Z","2018-12-06T19:30:00Z",,,,,,,,1,,,1
"2018-12-06T19:30:00Z","2018-12-06T20:00:00Z",,,,,,,,1,,,1
"2018-12-06T20:00:00Z","2018-12-06T20:30:00Z",,,,,,,,1,,,1
"2018-12-06T20:30:00Z","2018-12-06T21:00:00Z",,,,,,,,1,,,1
"2018-12-06T21:00:00Z","2018-12-06T21:30:00Z",,,,,,,,1,,,1
"2018-12-06T21:30:00Z","2018-12-06T22:00:00Z",,,,,,,,1,,,1
"2018-12-06T22:00:00Z","2018-12-06T22:30:00Z",,,,,,,,1,,,1
"2018-12-06T22:30:00Z","2018-12-06T23:00:00Z",,,,,,,,1,,,1
"2018-12-06T23:00:00Z","2018-12-06T23:30:00Z",,,,,,,,1,,,1
"2018-12-06T23:30:00Z","2018-12-07T00:00:00Z",,,,,,,,1,,,1
"2018-12-07T00:00:00Z","2018-12-07T00:30:00Z",,,,,,,,1,,,1
"2018-12-07T00:30:00Z","2018-12-07T01:00:00Z",,,,,,,,1,,,1
"2018-12-07T01:00:00Z","2018-12-07T01:30:00Z",,,,,,,,1,,,1
"2018-12-07T01:30:00Z","2018-12-07T02:00:00Z",,,,,,,,1,,,1
"2018-12-07T02:00:00Z","2018-12-07T02:30:00Z",,,,,,,,1,,,1
"2018-12-07T02:30:00Z","2018-12-07T03:00:00Z",,,,,,,,1,,,1
"2018-12-07T03:00:00Z","2018-12-07T03:30:00Z",,,,,,,,1,,,1
"2018-12-07T03:30:00Z","2018-12-07T04:00:00Z",,,,,,,,1,,,1
"2018-12-07T04:00:00Z","2018-12-07T04:30:00Z",,,,,,,,1,,,1
"2018-12-07T04:30:00Z","2018-12-07T05:00:00Z",,,,,,,,1,,,1
"2018-12-07T05:00:00Z","2018-12-07T05:30:00Z",,,,,,,,1,,,1
"2018-12-07T05:30:00Z","2018-12-07T06:00:00Z",,,,,,,,1,,,1
"2018-12-07T06:00:00Z","2018-12-07T06:30:00Z",,,,,,,,1,,,1
"2018-12-07T06:30:00Z","2018-12-07T07:00:00Z",,,,,,,,1,,,1
"2018-12-07T07:00:00Z","2018-12-07T07:30:00Z",,,,,,,,1,,,1
"2018-12-07T07:30:00Z","2018-12-07T08:00:00Z",,,,,,,,1,,,1
"2018-12-07T08:00:00Z","2018-12-07T08:30:00Z",,,,,,,,1,,,1
"2018-12-07T08:30:00Z","2018-12-07T09:00:00Z",,,,,,,,1,,,1
"2018-12-07T09:00:00Z","2018-12-07T09:30:00Z",,,,,,,,1,,,1
"2018-12-07T09:30:00Z","2018-12-07T10:00:00Z",,,,,,,,1,,,1
"2018-12-07T10:00:00Z","2018-12-07T10:30:00Z",,,,,,,,1,,,1
"2018-12-07T10:30:00Z","2018-12-07T11:00:00Z",,,,,,,,1,,,1
"2018-12-07T11:00:00Z","2018-12-07T11:30:00Z",,,,,,,,1,,,1
"2018-12-07T11:30:00Z","2018-12-07T12:00:00Z",,,,,,,,1,,,1
"2018-12-07T12:00:00Z","2018-12-07T12:30:00Z",,,,,,,,1,,,1
